,Symbol,Timestamp,Open,High,Low,Close,Volume,weekday
0,BTC,2020-01-01,54974.89,59260.9,54411.93,57457.19,807132.0,2
1,BTC,2020-01-02,57765.43,59755.2,54936.3,56363.08,1581880.0,3
2,BTC,2020-01-03,56825.39,57032.56,53950.62,53953.38,903338.0,4
3,BTC,2020-01-04,54857.51,60008.47,53129.36,58952.67,6252800.0,5
4,BTC,2020-01-05,59077.3,60767.31,58195.43,60082.74,1247344.0,6
5,BTC,2020-01-06,61438.42,63570.62,58155.49,61617.13,2192182.0,0
6,BTC,2020-01-07,62743.65,62743.65,58297.75,59807.91,1117695.0,1
7,BTC,2020-01-08,59314.94,61799.04,58894.61,59348.9,2096275.0,2
8,BTC,2020-01-09,59230.15,59619.74,56916.61,59026.66,1252526.0,3
9,BTC,2020-01-10,59342.95,60584.13,57093.51,58617.67,3838722.0,4
10,BTC,2020-01-11,58607.2,60063.52,56267.16,59678.54,2272424.0,5
11,BTC,2020-01-12,61447.52,61447.52,57612.77,59103.03,1636653.0,6
12,BTC,2020-01-13,59669.47,60832.33,58358.72,59500.1,4842780.0,0
13,BTC,2020-01-14,60100.63,62202.76,57794.58,59729.26,1008535.0,1
14,BTC,2020-01-15,59891.25,62295.06,59294.52,61464.05,776204.0,2
15,BTC,2020-01-16,61745.59,61765.62,57642.21,59421.36,806799.0,3
16,BTC,2020-01-17,60270.79,62914.16,60270.79,62469.52,428998.0,4
17,BTC,2020-01-18,63449.79,68373.94,63264.8,65724.33,800016.0,5
18,BTC,2020-01-19,65420.97,66473.65,63806.39,65178.25,1580965.0,6
19,BTC,2020-01-20,65045.19,65613.03,62180.29,65010.32,4032522.0,0
20,BTC,2020-01-21,65000.25,66367.45,62645.02,65533.78,1604509.0,1
21,BTC,2020-01-22,63301.49,68929.95,62528.48,64210.7,3526616.0,2
22,BTC,2020-01-23,62338.82,66053.33,62338.82,65427.6,1656844.0,3
23,BTC,2020-01-24,66048.5,66649.84,63618.35,64816.39,602213.0,4
24,BTC,2020-01-25,66345.15,66345.15,61307.07,65795.24,485406.0,5
25,BTC,2020-01-26,65660.99,65901.03,61453.79,63481.21,1869988.0,6
26,BTC,2020-01-27,64035.96,65825.77,60719.15,64099.11,2457216.0,0
27,BTC,2020-01-28,63911.05,65300.88,59774.2,62308.82,1133023.0,1
28,BTC,2020-01-29,62486.78,63571.66,61822.84,62583.21,1936760.0,2
29,BTC,2020-01-30,62098.07,65956.65,61848.6,65461.22,1038921.0,3
30,BTC,2020-01-31,65620.37,68280.63,64483.12,65662.87,1690295.0,4
31,BTC,2020-02-01,66411.57,66712.27,60483.25,61365.44,6418009.0,5
32,BTC,2020-02-02,60986.56,63516.56,58984.08,59749.65,2628125.0,6
33,BTC,2020-02-03,60910.98,61504.14,55756.92,59601.33,2215553.0,0
34,BTC,2020-02-04,58247.79,60114.32,57077.99,57906.1,1643231.0,1
35,BTC,2020-02-05,58829.84,59644.29,54762.49,57171.39,748089.0,2
36,BTC,2020-02-06,56460.72,59628.39,56460.72,58799.52,2477814.0,3
37,BTC,2020-02-07,58604.59,60173.09,57139.18,60048.21,1449360.0,4
38,BTC,2020-02-08,59985.79,63297.07,59985.79,62119.02,916282.0,5
39,BTC,2020-02-09,62405.1,66012.7,62405.1,63392.11,803746.0,6
40,BTC,2020-02-10,64423.23,66039.41,61760.28,62124.05,1441709.0,0
41,BTC,2020-02-11,62300.45,67480.46,61399.59,63949.29,1353832.0,1
42,BTC,2020-02-12,63666.7,67892.0,63666.7,66427.01,1070750.0,2
43,BTC,2020-02-13,66783.77,68520.51,63634.79,66103.31,1339933.0,3
44,BTC,2020-02-14,66281.01,69591.11,66281.01,68481.52,6318018.0,4
45,BTC,2020-02-15,69157.95,69157.95,65667.63,67768.9,897440.0,5
46,BTC,2020-02-16,67260.44,67446.25,64938.47,65658.81,1480794.0,6
47,BTC,2020-02-17,65880.08,65880.08,61544.76,62597.97,1201916.0,0
48,BTC,2020-02-18,61561.45,65421.23,61561.45,65214.16,1627645.0,1
49,BTC,2020-02-19,64876.66,67676.89,63767.96,65612.33,475487.0,2
50,BTC,2020-02-20,65197.55,69975.25,64850.92,67068.33,366954.0,3
51,BTC,2020-02-21,67271.82,69420.92,63606.89,63615.92,488195.0,4
52,BTC,2020-02-22,63982.63,66585.02,61928.56,62134.17,1584568.0,5
53,BTC,2020-02-23,62764.77,63445.72,58193.51,59409.49,1446859.0,6
54,BTC,2020-02-24,58660.45,59584.03,55851.59,57870.01,3694906.0,0
55,BTC,2020-02-25,58413.33,62596.86,56474.87,59430.06,4374991.0,1
56,BTC,2020-02-26,59418.97,61143.28,57887.16,60977.81,1091901.0,2
57,BTC,2020-02-27,60877.1,64233.65,59981.02,62402.45,434428.0,3
58,BTC,2020-02-28,61678.88,62160.39,56176.17,56593.2,1878052.0,4
59,BTC,2020-02-29,56540.38,59103.87,55728.34,56914.28,660361.0,5
60,BTC,2020-03-01,56376.12,56376.12,50995.75,53018.77,1566896.0,6
61,BTC,2020-03-02,51941.78,56944.99,51941.78,56073.85,1308708.0,0
62,BTC,2020-03-03,55936.72,57438.93,52812.2,54546.67,1329776.0,1
63,BTC,2020-03-04,55597.91,56020.07,53200.25,54370.97,1125435.0,2
64,BTC,2020-03-05,55623.21,56863.5,53472.24,55569.1,4083935.0,3
65,BTC,2020-03-06,55024.76,58028.3,55024.76,57224.49,304026.0,4
66,BTC,2020-03-07,57638.83,60229.46,54430.08,57111.27,2896703.0,5
67,BTC,2020-03-08,59743.84,59743.84,54401.05,55122.04,3967540.0,6
68,BTC,2020-03-09,54158.78,56939.08,53846.34,54586.93,203499.0,0
69,BTC,2020-03-10,54173.93,57556.01,54173.93,55365.01,1531773.0,1
70,BTC,2020-03-11,55199.26,57779.99,54874.49,55014.53,3189478.0,2
71,BTC,2020-03-12,55479.92,55836.16,53086.01,54801.53,1359292.0,3
72,BTC,2020-03-13,55386.22,57472.73,53354.57,54806.5,1628948.0,4
73,BTC,2020-03-14,54233.35,54728.55,52935.6,53886.67,941307.0,5
74,BTC,2020-03-15,53980.13,54206.4,52496.88,53160.38,673781.0,6
75,BTC,2020-03-16,54408.98,54408.98,51419.96,53106.06,2805048.0,0
76,BTC,2020-03-17,51615.88,56535.66,51615.88,55184.53,4621462.0,1
77,BTC,2020-03-18,56158.8,56158.8,52142.79,53939.64,6459149.0,2
78,BTC,2020-03-19,53773.21,56824.02,53773.21,54863.05,526114.0,3
79,BTC,2020-03-20,54691.96,57281.58,54691.96,55880.56,1314599.0,4
80,BTC,2020-03-21,56043.71,59242.56,55006.64,58016.06,2576294.0,5
81,BTC,2020-03-22,58020.69,58020.69,55768.57,56062.03,1962037.0,6
82,BTC,2020-03-23,56534.32,57258.38,54550.77,55806.86,735512.0,0
83,BTC,2020-03-24,57472.29,60931.69,56206.16,58635.22,786501.0,1
84,BTC,2020-03-25,59337.9,59337.9,57220.37,57596.83,594355.0,2
85,BTC,2020-03-26,57608.11,59204.59,55724.88,57278.88,2146056.0,3
86,BTC,2020-03-27,57430.62,57430.62,53465.47,54042.91,643641.0,4
87,BTC,2020-03-28,54280.82,55892.65,52521.53,53682.39,1086207.0,5
88,BTC,2020-03-29,53013.19,55329.85,52085.28,52216.16,1591326.0,6
89,BTC,2020-03-30,51109.12,53219.69,50175.0,50312.51,1855828.0,0
90,BTC,2020-03-31,50020.62,51252.29,49002.1,50859.19,2117899.0,1
91,BTC,2020-04-01,50039.16,53515.1,47876.94,49973.39,2822623.0,2
92,BTC,2020-04-02,50496.23,50867.78,48540.21,49543.41,2683695.0,3
93,BTC,2020-04-03,50855.42,50949.41,47953.81,48174.54,5270760.0,4
94,BTC,2020-04-04,48168.09,49622.82,47148.25,47417.95,2282720.0,5
95,BTC,2020-04-05,47055.57,49652.45,46410.96,47167.41,2349704.0,6
96,BTC,2020-04-06,47313.04,48898.79,45353.91,48292.16,105286.0,0
97,BTC,2020-04-07,48020.55,49190.61,45686.5,46257.92,4037922.0,1
98,BTC,2020-04-08,47273.78,47315.16,45678.48,46223.01,1155036.0,2
99,BTC,2020-04-09,46335.91,46980.78,43537.45,44133.39,1579480.0,3
100,BTC,2020-04-10,43867.67,44393.11,40540.77,42698.43,1679617.0,4
101,BTC,2020-04-11,42886.85,43792.47,40577.22,42028.63,725705.0,5
102,BTC,2020-04-12,42146.48,43442.06,41446.36,42744.27,1156605.0,6
103,BTC,2020-04-13,42435.18,44520.07,41348.18,41893.37,1077905.0,0
104,BTC,2020-04-14,42118.2,43292.18,42075.68,42775.87,623542.0,1
105,BTC,2020-04-15,43244.64,45620.26,41970.63,43333.79,1115429.0,2
106,BTC,2020-04-16,42966.28,45579.03,42834.82,44580.85,1388187.0,3
107,BTC,2020-04-17,44026.87,47539.31,41950.8,43720.95,5878051.0,4
108,BTC,2020-04-18,43818.4,45042.91,43032.06,44816.36,856023.0,5
109,BTC,2020-04-19,43496.53,45269.57,43434.54,43650.61,4637778.0,6
110,BTC,2020-04-20,42171.25,44147.88,42171.25,44011.22,11582685.0,0
111,BTC,2020-04-21,43714.46,43909.46,41460.82,42017.99,668579.0,1
112,BTC,2020-04-22,42014.51,43136.09,41448.91,43031.04,1385286.0,2
113,BTC,2020-04-23,42429.49,43965.56,42213.24,43150.41,1275067.0,3
114,BTC,2020-04-24,42806.64,46071.81,42806.64,43816.02,1565637.0,4
115,BTC,2020-04-25,43935.14,45364.63,42646.88,44033.68,817014.0,5
116,BTC,2020-04-26,43756.55,44530.73,42792.6,43158.67,5912794.0,6
117,BTC,2020-04-27,43559.04,45055.23,41650.25,43784.04,1304901.0,0
118,BTC,2020-04-28,43342.58,43907.06,40569.94,41555.42,4980932.0,1
119,BTC,2020-04-29,41795.26,43160.39,41057.9,42521.31,612402.0,2
120,BTC,2020-04-30,42720.69,43405.46,40462.82,42443.45,2928015.0,3
121,BTC,2020-05-01,41961.23,43191.25,39975.55,40965.6,1275975.0,4
