,Symbol,Timestamp,Open,High,Low,Close,Volume
0,BTC,2020-01-01,54974.89,59260.9,54411.93,57457.19,807132.0
1,BTC,2020-01-02,57765.43,59755.2,54936.3,56363.08,1581880.0
2,BTC,2020-01-03,56825.39,57032.56,53950.62,53953.38,903338.0
5,BTC,2020-01-06,61438.42,63570.62,58155.49,61617.13,2192182.0
6,BTC,2020-01-07,62743.65,62743.65,58297.75,59807.91,1117695.0
7,BTC,2020-01-08,59314.94,61799.04,58894.61,59348.9,2096275.0
8,BTC,2020-01-09,59230.15,59619.74,56916.61,59026.66,1252526.0
9,BTC,2020-01-10,59342.95,60584.13,57093.51,58617.67,3838722.0
12,BTC,2020-01-13,59669.47,60832.33,58358.72,59500.1,4842780.0
13,BTC,2020-01-14,60100.63,62202.76,57794.58,59729.26,1008535.0
14,BTC,2020-01-15,59891.25,62295.06,59294.52,61464.05,776204.0
15,BTC,2020-01-16,61745.59,61765.62,57642.21,59421.36,806799.0
16,BTC,2020-01-17,60270.79,62914.16,60270.79,62469.52,428998.0
19,BTC,2020-01-20,65045.19,65613.03,62180.29,65010.32,4032522.0
20,BTC,2020-01-21,65000.25,66367.45,62645.02,65533.78,1604509.0
21,BTC,2020-01-22,63301.49,68929.95,62528.48,64210.7,3526616.0
22,BTC,2020-01-23,62338.82,66053.33,62338.82,65427.6,1656844.0
23,BTC,2020-01-24,66048.5,66649.84,63618.35,64816.39,602213.0
26,BTC,2020-01-27,64035.96,65825.77,60719.15,64099.11,2457216.0
27,BTC,2020-01-28,63911.05,65300.88,59774.2,62308.82,1133023.0
28,BTC,2020-01-29,62486.78,63571.66,61822.84,62583.21,1936760.0
29,BTC,2020-01-30,62098.07,65956.65,61848.6,65461.22,1038921.0
30,BTC,2020-01-31,65620.37,68280.63,64483.12,65662.87,1690295.0
33,BTC,2020-02-03,60910.98,61504.14,55756.92,59601.33,2215553.0
34,BTC,2020-02-04,58247.79,60114.32,57077.99,57906.1,1643231.0
35,BTC,2020-02-05,58829.84,59644.29,54762.49,57171.39,748089.0
36,BTC,2020-02-06,56460.72,59628.39,56460.72,58799.52,2477814.0
37,BTC,2020-02-07,58604.59,60173.09,57139.18,60048.21,1449360.0
40,BTC,2020-02-10,64423.23,66039.41,61760.28,62124.05,1441709.0
41,BTC,2020-02-11,62300.45,67480.46,61399.59,63949.29,1353832.0
42,BTC,2020-02-12,63666.7,67892.0,63666.7,66427.01,1070750.0
43,BTC,2020-02-13,66783.77,68520.51,63634.79,66103.31,1339933.0
44,BTC,2020-02-14,66281.01,69591.11,66281.01,68481.52,6318018.0
47,BTC,2020-02-17,65880.08,65880.08,61544.76,62597.97,1201916.0
48,BTC,2020-02-18,61561.45,65421.23,61561.45,65214.16,1627645.0
49,BTC,2020-02-19,64876.66,67676.89,63767.96,65612.33,475487.0
50,BTC,2020-02-20,65197.55,69975.25,64850.92,67068.33,366954.0
51,BTC,2020-02-21,67271.82,69420.92,63606.89,63615.92,488195.0
54,BTC,2020-02-24,58660.45,59584.03,55851.59,57870.01,3694906.0
55,BTC,2020-02-25,58413.33,62596.86,56474.87,59430.06,4374991.0
56,BTC,2020-02-26,59418.97,61143.28,57887.16,60977.81,1091901.0
57,BTC,2020-02-27,60877.1,64233.65,59981.02,62402.45,434428.0
58,BTC,2020-02-28,61678.88,62160.39,56176.17,56593.2,1878052.0
61,BTC,2020-03-02,51941.78,56944.99,51941.78,56073.85,1308708.0
62,BTC,2020-03-03,55936.72,57438.93,52812.2,54546.67,1329776.0
63,BTC,2020-03-04,55597.91,56020.07,53200.25,54370.97,1125435.0
64,BTC,2020-03-05,55623.21,56863.5,53472.24,55569.1,4083935.0
65,BTC,2020-03-06,55024.76,58028.3,55024.76,57224.49,304026.0
68,BTC,2020-03-09,54158.78,56939.08,53846.34,54586.93,203499.0
69,BTC,2020-03-10,54173.93,57556.01,54173.93,55365.01,1531773.0
70,BTC,2020-03-11,55199.26,57779.99,54874.49,55014.53,3189478.0
71,BTC,2020-03-12,55479.92,55836.16,53086.01,54801.53,1359292.0
72,BTC,2020-03-13,55386.22,57472.73,53354.57,54806.5,1628948.0
75,BTC,2020-03-16,54408.98,54408.98,51419.96,53106.06,2805048.0
76,BTC,2020-03-17,51615.88,56535.66,51615.88,55184.53,4621462.0
77,BTC,2020-03-18,56158.8,56158.8,52142.79,53939.64,6459149.0
78,BTC,2020-03-19,53773.21,56824.02,53773.21,54863.05,526114.0
79,BTC,2020-03-20,54691.96,57281.58,54691.96,55880.56,1314599.0
82,BTC,2020-03-23,56534.32,57258.38,54550.77,55806.86,735512.0
83,BTC,2020-03-24,57472.29,60931.69,56206.16,58635.22,786501.0
84,BTC,2020-03-25,59337.9,59337.9,57220.37,57596.83,594355.0
85,BTC,2020-03-26,57608.11,59204.59,55724.88,57278.88,2146056.0
86,BTC,2020-03-27,57430.62,57430.62,53465.47,54042.91,643641.0
89,BTC,2020-03-30,51109.12,53219.69,50175.0,50312.51,1855828.0
90,BTC,2020-03-31,50020.62,51252.29,49002.1,50859.19,2117899.0
91,BTC,2020-04-01,50039.16,53515.1,47876.94,49973.39,2822623.0
92,BTC,2020-04-02,50496.23,50867.78,48540.21,49543.41,2683695.0
93,BTC,2020-04-03,50855.42,50949.41,47953.81,48174.54,5270760.0
96,BTC,2020-04-06,47313.04,48898.79,45353.91,48292.16,105286.0
97,BTC,2020-04-07,48020.55,49190.61,45686.5,46257.92,4037922.0
98,BTC,2020-04-08,47273.78,47315.16,45678.48,46223.01,1155036.0
99,BTC,2020-04-09,46335.91,46980.78,43537.45,44133.39,1579480.0
100,BTC,2020-04-10,43867.67,44393.11,40540.77,42698.43,1679617.0
103,BTC,2020-04-13,42435.18,44520.07,41348.18,41893.37,1077905.0
104,BTC,2020-04-14,42118.2,43292.18,42075.68,42775.87,623542.0
105,BTC,2020-04-15,43244.64,45620.26,41970.63,43333.79,1115429.0
106,BTC,2020-04-16,42966.28,45579.03,42834.82,44580.85,1388187.0
107,BTC,2020-04-17,44026.87,47539.31,41950.8,43720.95,5878051.0
110,BTC,2020-04-20,42171.25,44147.88,42171.25,44011.22,11582685.0
111,BTC,2020-04-21,43714.46,43909.46,41460.82,42017.99,668579.0
112,BTC,2020-04-22,42014.51,43136.09,41448.91,43031.04,1385286.0
113,BTC,2020-04-23,42429.49,43965.56,42213.24,43150.41,1275067.0
114,BTC,2020-04-24,42806.64,46071.81,42806.64,43816.02,1565637.0
117,BTC,2020-04-27,43559.04,45055.23,41650.25,43784.04,1304901.0
118,BTC,2020-04-28,43342.58,43907.06,40569.94,41555.42,4980932.0
119,BTC,2020-04-29,41795.26,43160.39,41057.9,42521.31,612402.0
120,BTC,2020-04-30,42720.69,43405.46,40462.82,42443.45,2928015.0
121,BTC,2020-05-01,41961.23,43191.25,39975.55,40965.6,1275975.0
124,BTC,2020-05-04,39595.18,40781.29,39268.2,40171.46,2206950.0
125,BTC,2020-05-05,40407.18,40909.72,39015.06,40731.6,1088515.0
126,BTC,2020-05-06,40088.27,41604.44,38605.91,40958.89,2211125.0
127,BTC,2020-05-07,41793.71,41826.51,39637.69,40472.95,3345014.0
128,BTC,2020-05-08,41106.88,44111.8,40210.92,43727.29,2161325.0
131,BTC,2020-05-11,47478.64,48642.78,45859.44,48040.01,3174132.0
132,BTC,2020-05-12,47938.68,48461.02,44468.08,47209.79,990641.0
133,BTC,2020-05-13,47221.83,48915.29,46013.06,47699.27,1464625.0
134,BTC,2020-05-14,47854.97,48742.51,46450.88,47685.39,2242382.0
135,BTC,2020-05-15,47586.46,48866.76,47106.46,48828.58,648391.0
138,BTC,2020-05-18,44290.01,46528.48,44290.01,46205.69,3078612.0
139,BTC,2020-05-19,45500.7,46911.28,44700.56,45550.96,511533.0
140,BTC,2020-05-20,45292.86,46739.53,43714.21,43996.82,1898462.0
141,BTC,2020-05-21,44651.76,44756.57,43109.41,43846.56,1761780.0
142,BTC,2020-05-22,43692.29,45900.91,43090.41,44137.63,1218595.0
145,BTC,2020-05-25,44377.45,46329.21,41273.08,44541.62,1274011.0
146,BTC,2020-05-26,44490.17,46074.85,42782.14,44307.59,2439952.0
147,BTC,2020-05-27,44059.09,46232.29,42097.31,44523.35,3245847.0
148,BTC,2020-05-28,44880.49,48786.06,44431.65,46215.23,988163.0
149,BTC,2020-05-29,46708.15,46708.15,41831.17,44176.3,1991277.0
152,BTC,2020-06-01,44155.63,44155.63,39487.99,40558.94,3533345.0
153,BTC,2020-06-02,40328.59,40889.34,38944.7,39740.99,2703455.0
154,BTC,2020-06-03,39570.34,40642.74,38414.38,40008.67,1833495.0
155,BTC,2020-06-04,40406.96,42503.31,39453.12,42049.59,793263.0
156,BTC,2020-06-05,43682.85,43682.85,39795.35,42106.81,1043610.0
159,BTC,2020-06-08,42365.83,43092.04,42104.31,42825.1,1543379.0
160,BTC,2020-06-09,42542.58,45300.22,40876.26,42861.06,2617003.0
161,BTC,2020-06-10,43047.47,43047.47,40364.88,42232.33,564188.0
162,BTC,2020-06-11,42268.82,43508.46,39709.94,42171.58,178528.0
163,BTC,2020-06-12,41742.28,42332.01,39112.82,41170.37,2550571.0
166,BTC,2020-06-15,43603.7,44468.98,43326.67,43974.39,3853027.0
167,BTC,2020-06-16,43006.92,47207.09,43006.92,45768.35,1376047.0
168,BTC,2020-06-17,45704.58,46471.1,44513.49,45843.65,1378275.0
169,BTC,2020-06-18,45837.47,47722.87,44750.36,47553.9,6223012.0
170,BTC,2020-06-19,48169.02,49202.73,44826.32,47961.76,2214441.0
173,BTC,2020-06-22,43894.08,44398.32,41059.22,42866.73,1011968.0
174,BTC,2020-06-23,42930.69,43308.66,41422.69,41616.32,427103.0
175,BTC,2020-06-24,41332.0,43769.21,40379.62,42630.68,813614.0
176,BTC,2020-06-25,42420.18,44066.77,40971.18,42059.71,2732327.0
177,BTC,2020-06-26,41929.66,42565.57,40586.53,42230.96,3998864.0
180,BTC,2020-06-29,43568.64,43568.64,41167.54,42285.19,502091.0
181,BTC,2020-06-30,41750.94,41750.94,39556.49,40621.16,476532.0
182,BTC,2020-07-01,40543.86,42112.42,39287.81,40505.36,1687925.0
183,BTC,2020-07-02,39658.01,39658.01,37947.71,38030.07,391689.0
184,BTC,2020-07-03,37482.57,39658.3,36664.97,38410.34,2254597.0
187,BTC,2020-07-06,39668.34,39919.61,37555.21,38129.65,1388196.0
188,BTC,2020-07-07,37707.21,41149.03,35761.9,38496.42,2684641.0
189,BTC,2020-07-08,37883.7,39514.9,37395.24,38491.58,3999351.0
190,BTC,2020-07-09,38517.39,40036.63,36306.82,37915.23,512360.0
191,BTC,2020-07-10,37266.87,39756.42,36771.77,38083.7,713530.0
194,BTC,2020-07-13,39114.05,40964.89,39114.05,40662.42,704655.0
195,BTC,2020-07-14,39779.33,42565.7,38474.08,40166.42,1070622.0
196,BTC,2020-07-15,39458.52,40878.75,39024.54,39712.98,1319704.0
197,BTC,2020-07-16,39528.76,39612.54,37372.72,38283.96,1228875.0
198,BTC,2020-07-17,37868.9,39048.81,36764.74,38295.83,3876229.0
201,BTC,2020-07-20,38682.53,41035.05,38021.4,39136.24,1003408.0
202,BTC,2020-07-21,39153.51,40335.64,38795.57,39538.32,829675.0
203,BTC,2020-07-22,40000.31,40000.31,38780.54,39541.87,1204880.0
204,BTC,2020-07-23,39361.25,39361.25,37475.54,39093.77,3802617.0
205,BTC,2020-07-24,38780.59,40570.34,38780.59,39485.56,2348757.0
208,BTC,2020-07-27,41501.15,42863.44,40226.87,41927.38,2137068.0
209,BTC,2020-07-28,41600.5,42448.57,40558.51,41229.13,4760912.0
210,BTC,2020-07-29,41486.39,44276.92,41044.8,42208.03,1316688.0
211,BTC,2020-07-30,41523.6,44735.31,41523.6,43871.05,592142.0
212,BTC,2020-07-31,44100.39,44613.41,43052.73,43876.13,1570508.0
215,BTC,2020-08-03,44627.64,45316.76,42441.18,43421.88,5030545.0
216,BTC,2020-08-04,43675.77,45229.58,41731.99,42979.18,1456968.0
217,BTC,2020-08-05,43249.28,43249.28,41024.64,42699.48,512915.0
218,BTC,2020-08-06,41439.79,43824.72,40904.21,41841.7,3650996.0
219,BTC,2020-08-07,42206.46,42369.62,39258.25,40859.51,2870093.0
222,BTC,2020-08-10,38768.63,39614.71,38025.44,38400.8,1865653.0
223,BTC,2020-08-11,37988.08,41056.49,37922.26,40237.26,4895809.0
224,BTC,2020-08-12,39816.53,42521.9,39816.53,42069.35,603397.0
225,BTC,2020-08-13,42010.53,42464.82,40731.62,41355.36,918677.0
226,BTC,2020-08-14,41005.71,42046.11,40078.96,40469.07,1589848.0
229,BTC,2020-08-17,43323.98,43864.91,42413.27,43432.75,5489136.0
230,BTC,2020-08-18,43200.49,46498.12,41437.74,44334.33,768819.0
231,BTC,2020-08-19,44224.23,45355.53,43275.64,44790.88,3554102.0
232,BTC,2020-08-20,45485.0,48051.75,45028.73,47009.5,1558822.0
233,BTC,2020-08-21,47331.06,47360.26,44982.14,46553.93,921514.0
236,BTC,2020-08-24,45345.75,49792.7,43729.88,46293.5,605147.0
237,BTC,2020-08-25,46402.95,46492.81,43325.86,43811.67,15986770.0
238,BTC,2020-08-26,44054.07,44587.89,42149.39,43636.62,593845.0
239,BTC,2020-08-27,43979.05,47080.91,43979.05,45286.11,629692.0
240,BTC,2020-08-28,44765.33,46137.79,44510.14,46128.2,2306247.0
243,BTC,2020-08-31,46804.83,49211.9,46180.45,48913.12,507163.0
244,BTC,2020-09-01,47805.55,51384.45,47805.55,49641.07,422253.0
