Datetime,STOCK_AA,STOCK_ACM,STOCK_AMD,STOCK_FLR,STOCK_LMT,STOCK_MDU,STOCK_NVDA,STOCK_PLTR,STOCK_PWR,STOCK_QCOM,STOCK_RS,STOCK_RTX,CRYPTO_BTC,CRYPTO_ETH,CRYPTO_SOL
2020-01-01,79.41,59.9,57.68,54.46,358.39,7.92,136.8,73.09,114.05,156.43,184.05,103.43,57457.19,2086.48,150.24
2020-01-02,78.69,62.57,56.83,54.64,360.25,7.85,134.8,72.09,110.59,156.9,182.21,103.11,56363.08,2077.22,153.65
2020-01-03,78.65,63.5,56.6,53.23,356.3,7.92,133.44,71.35,110.65,149.15,185.5,102.83,53953.38,2088.73,157.37
2020-01-04,78.565,63.705,56.629999999999995,53.47,361.39,7.85,133.25,72.10499999999999,110.45,146.385,185.42000000000002,103.975,58952.67,2149.52,157.77
2020-01-05,78.565,63.705,56.629999999999995,53.47,361.39,7.85,133.25,72.10499999999999,110.45,146.385,185.42000000000002,103.975,60082.74,2282.21,158.03
2020-01-06,78.48,63.91,56.66,53.71,366.48,7.78,133.06,72.86,110.25,143.62,185.34,105.12,61617.13,2433.24,166.13
2020-01-07,78.42,62.77,57.18,52.94,386.82,7.75,134.25,72.76,116.25,143.2,182.88,106.17,59807.91,2537.67,168.5
2020-01-08,76.53,61.31,58.12,51.77,383.22,7.79,134.27,72.4,114.56,137.21,182.54,105.94,59348.9,2477.27,179.47
2020-01-09,76.28,61.16,59.85,51.75,390.52,7.68,137.39,73.5,111.06,130.73,183.78,106.61,59026.66,2409.97,178.03
2020-01-10,78.58,60.13,60.14,52.61,385.51,7.64,136.64,73.42,108.9,130.29,186.48,107.65,58617.67,2640.67,178.41
2020-01-11,78.0,60.400000000000006,60.21,52.489999999999995,385.68,7.6850000000000005,136.39,74.245,107.33000000000001,131.45999999999998,187.595,108.535,59678.54,2719.91,176.38
2020-01-12,78.0,60.400000000000006,60.21,52.489999999999995,385.68,7.6850000000000005,136.39,74.245,107.33000000000001,131.45999999999998,187.595,108.535,59103.03,3163.58,182.33
2020-01-13,77.42,60.67,60.28,52.37,385.85,7.73,136.14,75.07,105.76,132.63,188.71,109.42,59500.1,3221.63,177.72
2020-01-14,77.01,59.69,58.67,53.03,379.2,7.68,136.12,74.29,105.52,134.43,189.46,110.65,59729.26,3057.93,180.84
2020-01-15,77.79,58.03,56.7,52.01,380.02,7.59,135.0,73.4,105.05,132.22,189.26,112.09,61464.05,2971.98,169.2
2020-01-16,74.86,58.26,58.97,51.16,380.6,7.5,133.13,72.22,106.45,129.66,189.02,112.56,59421.36,3341.04,173.05
2020-01-17,72.09,58.47,58.95,51.44,385.03,7.41,134.75,72.29,104.65,131.55,188.07,111.82,62469.52,3214.8,163.16
2020-01-18,72.095,58.41,57.92,51.065,384.335,7.45,134.035,72.755,102.62,133.86,187.655,112.53,65724.33,3335.45,163.96
2020-01-19,72.095,58.41,57.92,51.065,384.335,7.45,134.035,72.755,102.62,133.86,187.655,112.53,65178.25,3207.76,162.76
2020-01-20,72.1,58.35,56.89,50.69,383.64,7.49,133.32,73.22,100.59,136.17,187.24,113.24,65010.32,3151.62,160.07
2020-01-21,70.9,57.09,55.44,51.37,396.91,7.67,131.3,76.27,101.49,132.46,187.59,113.51,65533.78,3308.92,163.43
2020-01-22,69.4,57.8,56.83,51.89,410.76,7.71,131.19,74.7,98.89,128.52,188.49,112.94,64210.7,3675.18,160.91
2020-01-23,68.17,57.27,57.6,52.91,412.83,7.68,131.01,77.67,103.31,126.43,192.66,111.97,65427.6,3698.68,159.82
2020-01-24,62.71,59.03,56.39,53.73,430.21,7.58,132.06,80.71,104.1,124.59,190.47,111.3,64816.39,3800.03,161.57
2020-01-25,63.905,58.754999999999995,56.055,53.155,425.96500000000003,7.52,132.565,81.9,104.07,125.295,191.29000000000002,111.69999999999999,65795.24,3689.17,159.61
2020-01-26,63.905,58.754999999999995,56.055,53.155,425.96500000000003,7.52,132.565,81.9,104.07,125.295,191.29000000000002,111.69999999999999,63481.21,3477.52,156.55
2020-01-27,65.1,58.48,55.72,52.58,421.72,7.46,133.07,83.09,104.04,126.0,192.11,112.1,64099.11,3410.62,157.32
2020-01-28,64.77,57.88,54.53,53.75,421.54,7.25,132.55,83.04,108.48,128.53,187.33,111.26,62308.82,3194.99,150.64
2020-01-29,67.74,55.93,53.3,54.77,415.05,7.22,133.58,85.26,108.17,128.4,181.44,111.39,62583.21,2740.65,139.33
2020-01-30,71.34,56.02,53.33,54.33,424.16,7.32,135.63,83.32,111.13,132.06,181.57,112.64,65461.22,2888.75,138.62
2020-01-31,68.66,55.12,52.19,55.28,422.91,7.29,133.63,86.41,115.19,134.5,183.71,111.25,65662.87,3293.05,139.76
2020-02-01,67.78,55.2,52.135,54.465,416.15,7.3149999999999995,134.965,85.93,115.02,133.12,184.66000000000003,112.325,61365.44,3243.64,134.24
2020-02-02,67.78,55.2,52.135,54.465,416.15,7.3149999999999995,134.965,85.93,115.02,133.12,184.66000000000003,112.325,59749.65,3220.68,135.76
2020-02-03,66.9,55.28,52.08,53.65,409.39,7.34,136.3,85.45,114.85,131.74,185.61,113.4,59601.33,3278.38,139.0
2020-02-04,63.53,56.29,53.57,53.88,419.89,7.42,136.62,89.45,118.21,130.67,188.2,115.11,57906.1,3280.53,137.43
2020-02-05,61.01,56.44,55.22,54.29,418.31,7.44,134.82,88.47,122.14,131.27,188.29,116.4,57171.39,3180.3,142.94
2020-02-06,60.6,57.02,52.85,55.0,411.07,7.4,132.08,86.65,122.63,135.27,190.19,116.54,58799.52,3076.28,143.0
2020-02-07,59.55,55.76,53.38,56.46,416.17,7.41,131.31,87.43,126.25,135.56,191.39,116.99,60048.21,3298.16,144.08
2020-02-08,59.65,56.084999999999994,53.28,57.54,409.76,7.42,129.48000000000002,88.31,124.925,134.78,191.325,116.69999999999999,62119.02,3456.01,144.81
2020-02-09,59.65,56.084999999999994,53.28,57.54,409.76,7.42,129.48000000000002,88.31,124.925,134.78,191.325,116.69999999999999,63392.11,3398.17,148.08
2020-02-10,59.75,56.41,53.18,58.62,403.35,7.43,127.65,89.19,123.6,134.0,191.26,116.41,62124.05,3400.27,141.56
2020-02-11,57.78,56.66,55.27,60.34,400.9,7.44,127.03,91.27,118.89,128.36,191.81,115.48,63949.29,3515.37,135.89
2020-02-12,59.34,56.12,57.12,59.55,400.6,7.39,128.92,92.02,124.35,129.2,191.98,114.34,66427.01,3511.37,144.88
2020-02-13,59.6,56.59,57.83,60.06,384.3,7.41,128.32,91.2,121.72,136.69,194.05,112.69,66103.31,3455.48,151.96
